(Q1),TIP120,-,TO220,$0.65 MOUSER 512-TIP120,1,$0.65,512-TIP120,1
(CTRL1|IF1|LASER1),CONNECTOR_9,-,538-95540-2881,$1.75 MOUSER 538-95540-2881,3,$1.75,538-95540-2881,3
(L1),INDUCTOR,10mH,RADIAL_CAN 400,$1.39 MOUSER 652-RL181S-103J-RC,1,$1.39,652-RL181S-103J-RC,1
(C1),POLARIZED_CAPACITOR,2200uF,RCY300P,$2.04 MOUSER 80-ESH228M050AN2AA,1,$2.04,80-ESH228M050AN2AA,1
(C2),POLARIZED_CAPACITOR,4.7u,2917p,$0.64 MOUSER 74-293D475X0050D2TE3,1,$0.64,74-293D475X0050D2TE3,1
(L2),INDUCTOR,100uH,1206,$0.90 MOUSER 652-SRR1206-101YL,1,$0.90,652-SRR1206-101YL,1
(F1),FUSE,0.2A,ACY200,X $0.94 MOUSER 576-600R150-RA,1,X,576-600R150-RA,1
(R1),RESISTOR,100,JUMPER2,$0.34 MOUSER 71-CP0005100R0JE14 ,1,$0.34,71-CP0005100R0JE14 ,1
(D1|D2|D3|D4),DIODE,-,DO214AB,$0.55 MOUSER 512-ES3J,4,$0.55,512-ES3J,4
(IF2|LASER2),CONNECTOR_2,60A,XT60,$0.80 HobbyKing XT60,2,$0.80,,2
(R3),VARIABLE_RESISTOR,10k,VISHAY_T18,$2.04 MOUSER 72-T18-10K,1,$2.04,72-T18-10K,1
(D5),DIODE,3A,Diode_DO-201AD_Horizontal_RM15,$0.32 MOUSER 583-RL851-B,1,$0.32,583-RL851-B,1
(R2|R4),RESISTOR,100k,0402,$0.10 MOUSER 71-CRCW0402-100K-E3,2,$0.10,71-CRCW0402-100K-E3,2
